Mach,CD Power-Off
11.09,0.571325015
11.1,0.571297701
11.11,0.571270548
11.12,0.571243444
11.13,0.57121639
11.14,0.571189396
11.15,0.571162451
11.16,0.571135557
11.17,0.571108817
11.18,0.571082028
11.19,0.571055392
11.2,0.571028708
11.21,0.571002175
11.22,0.570975694
11.23,0.570949263
11.24,0.570922884
11.25,0.570896555
11.26,0.570870278
11.27,0.570844051
11.28,0.570817975
11.29,0.570791849
11.3,0.570765873
11.31,0.570739846
11.32,0.57071407
11.33,0.570688144
11.34,0.570662366
11.35,0.570636638
11.36,0.57061106
11.37,0.570585431
11.38,0.57055985
11.39,0.570534419
11.4,0.570508935
11.41,0.5704836
11.42,0.570458213
11.43,0.570432974
11.44,0.570407783
11.45,0.57038264
11.46,0.570357545
11.47,0.570332497
11.48,0.570307597
11.49,0.570282642
11.5,0.570257837
11.51,0.570232976
11.52,0.570208264
11.53,0.570183598
11.54,0.570158878
11.55,0.570134304
11.56,0.570109777
11.57,0.570085396
11.58,0.57006096
11.59,0.570036569
11.6,0.570012225
11.61,0.569988027
11.62,0.569963773
11.63,0.569939665
11.64,0.569915601
11.65,0.569891482
11.66,0.569867509
11.67,0.569843579
11.68,0.569819693
11.69,0.569795853
11.7,0.569772158
11.71,0.569748405
11.72,0.569724696
11.73,0.569701132
11.74,0.569677511
11.75,0.569654033
11.76,0.569630599
11.77,0.569607107
11.78,0.569583759
11.79,0.569560453
11.8,0.569537192
11.81,0.569513972
11.82,0.569490895
11.83,0.56946776
11.84,0.569444667
11.85,0.569421716
11.86,0.569398709
11.87,0.569375842
11.88,0.569353018
11.89,0.569330135
11.9,0.569307393
11.91,0.569284693
11.92,0.569262035
11.93,0.569239416
11.94,0.56921694
11.95,0.569194405
11.96,0.569171909
11.97,0.569149455
11.98,0.569127141
11.99,0.569104867
12,0.569082534
12.01,0.56906034
12.02,0.569038187
12.03,0.569016075
12.04,0.568994001
12.05,0.568971967
12.06,0.568949973
12.07,0.568928018
12.08,0.568906102
12.09,0.568884326
12.1,0.568862488
12.11,0.568840691
12.12,0.56881903
12.13,0.56879741
12.14,0.568775727
12.15,0.568754184
12.16,0.568732678
12.17,0.568711211
12.18,0.568689782
12.19,0.568668391
12.2,0.568647039
12.21,0.568625723
12.22,0.568604545
12.23,0.568583304
12.24,0.568562102
12.25,0.568541036
12.26,0.568520008
12.27,0.568498918
12.28,0.568477963
12.29,0.568457046
12.3,0.568436165
12.31,0.568415322
12.32,0.568394514
12.33,0.568373744
12.34,0.568353011
12.35,0.568332312
12.36,0.568311751
12.37,0.568291124
12.38,0.568270534
12.39,0.56825008
12.4,0.568229563
12.41,0.568209179
12.42,0.568188833
12.43,0.56816842
12.44,0.568148144
12.45,0.568127903
12.46,0.568107696
12.47,0.568087525
12.48,0.568067489
12.49,0.568047387
12.5,0.56802732
12.51,0.568007287
12.52,0.567987389
12.53,0.567967426
12.54,0.567947597
12.55,0.567927701
12.56,0.567907941
12.57,0.567888213
12.58,0.56786842
12.59,0.567848761
12.6,0.567829135
12.61,0.567809543
12.62,0.567789985
12.63,0.56777046
12.64,0.567750967
12.65,0.567731609
12.66,0.567712184
12.67,0.567692891
12.68,0.567673531
12.69,0.567654204
12.7,0.56763501
12.71,0.567615849
12.72,0.567596619
12.73,0.567577523
12.74,0.567558459
12.75,0.567539427
12.76,0.567520427
12.77,0.56750146
12.78,0.567482524
12.79,0.56746362
12.8,0.567444747
12.81,0.567425907
12.82,0.5674072
12.83,0.567388422
12.84,0.567369676
12.85,0.567351062
12.86,0.567332479
12.87,0.567313827
12.88,0.567295306
12.89,0.567276717
12.9,0.567258257
12.91,0.567239829
12.92,0.567221432
12.93,0.567203065
12.94,0.567184729
12.95,0.567166423
12.96,0.567148148
12.97,0.567130003
12.98,0.567111788
12.99,0.567093602
13,0.567075548
13.01,0.567057423
13.02,0.567039429
13.03,0.567021364
13.04,0.567003428
13.05,0.566985523
13.06,0.566967547
13.07,0.5669497
13.08,0.566931883
13.09,0.566914095
13.1,0.566896336
13.11,0.566878606
13.12,0.566860905
13.13,0.566843234
13.14,0.566825591
13.15,0.566807977
13.16,0.566790492
13.17,0.566772935
13.18,0.566755507
13.19,0.566738007
13.2,0.566720537
13.21,0.566703194
13.22,0.566685879
13.23,0.566668593
13.24,0.566651234
13.25,0.566634004
13.26,0.566616802
13.27,0.566599628
13.28,0.566582481
13.29,0.566565362
13.3,0.566548271
13.31,0.566531206
13.32,0.566514171
13.33,0.566497262
13.34,0.566480281
13.35,0.566463326
13.36,0.566446499
13.37,0.5664296
13.38,0.566412827
13.39,0.566395981
13.4,0.566379261
13.41,0.566362469
13.42,0.566345803
13.43,0.566329165
13.44,0.566312553
13.45,0.566295966
13.46,0.566279308
13.47,0.566262775
13.48,0.566246368
13.49,0.566229888
13.5,0.566213434
13.51,0.566197005
13.52,0.566180604
13.53,0.566164228
13.54,0.566147977
13.55,0.566131652
13.56,0.566115454
13.57,0.566099181
13.58,0.566083034
13.59,0.566066812
13.6,0.566050716
13.61,0.566034645
13.62,0.566018498
13.63,0.566002478
13.64,0.565986483
13.65,0.565970513
13.66,0.565954568
13.67,0.565938648
13.68,0.565922753
13.69,0.565906882
13.7,0.565891037
13.71,0.565875216
13.72,0.565859421
13.73,0.56584375
13.74,0.565828002
13.75,0.56581228
13.76,0.565796681
13.77,0.565781008
13.78,0.565765459
13.79,0.565749833
13.8,0.565734332
13.81,0.565718855
13.82,0.565703402
13.83,0.565687873
13.84,0.565672468
13.85,0.565657087
13.86,0.565641728
13.87,0.565626395
13.88,0.565611085
13.89,0.565595799
13.9,0.565580535
13.91,0.565565296
13.92,0.565550079
13.93,0.565534886
13.94,0.565519816
13.95,0.565504669
